Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,699,1,156,"H3","2511",1,,2373584,559733,0
2010,699,1,156,"H3","251120",8,500,500,208,0
2010,699,1,156,"H3","2513",1,,6587171,2491088,0
2010,699,2,156,"H3","2513",1,,,2252609,0
2010,699,2,156,"H3","2514",8,188351,188351,63558,6
2010,699,2,156,"H3","251400",8,188351,188351,63558,6
2010,699,1,156,"H3","251511",8,316000,316000,114431,0
2010,699,2,156,"H3","251511",8,759614,759614,179428,6
2010,699,1,156,"H3","251512",8,5076036,5076036,1985889,0
2010,699,2,156,"H3","251512",8,20622431,20622431,10207731,6
2010,699,2,156,"H3","251520",8,200911,200911,63289,6
2010,699,2,156,"H3","2516",1,,,257852371,0
2010,699,1,156,"H3","2516",1,,10227,5758,4
2010,699,2,156,"H3","251611",8,1335451724,1335451724,231423562,6
2010,699,1,156,"H3","251611",8,10000,10000,5746,0
